cogs_pct_growth,revenue_growth,gross_profit_growth,gross_profit_pct_growth,ebitda_growth,ebitda_pct_growth,ebit_growth,ebit_pct_growth,pre_tax_income_growth,pre_tax_income_pct_growth,net_income_growth,net_income_pct_growth,dividends_per_share,shares_outstanding_basic,total_assets,total_liabilities,shareholders_equity,retained_earnings,tangible_shareholders_equity,total_assets_growth,total_liabilities_growth,shareholders_equity_growth,retained_earnings_growth,tangible_shareholders_equity_growth,cash_from_operations,cash_from_investing,cash_from_financing,free_cashflow,free_cashflow_per_share_diluted,cash_from_operations_growth,cash_from_investing_growth,cash_from_financing_growth,free_cashflow_growth,free_cashflow_per_share_diluted_growth,roe,roe_growth,roic,roic_growth,roce,roce_growth,debt_to_equity,debt_to_equity_growth,leverage,leverage_growth,current_ratio,current_ratio_growth,acid_test,acid_test_growth,days_in_inventory,days_in_inventory_growth,inventory_turns,inventory_turns_growth,days_sales_outstanding,days_sales_outstanding_growth,days_payable_outstanding,days_payable_outstanding_growth,ppe_turnover,ppe_turnover_growth,total_asset_turnover,total_asset_turnover_growth,score
0.2,5.0,4.34,-0.8,4.6,0.0,4.7,0.0,5.47,0.55,-47.06,-50.0,1.59,3374000000.0,203105000000.0,121475000000.0,81630000000.0,72978000000.0,61133000000.0,5.01,3.33,7.63,6.24,10.76,25591000000.0,-12637000000.0,-11946000000.0,12693000000.0,3.75,5.51,-23.91,41.24,18.13,21.36,0.21,-50.0,0.22,4.76,0.21,5.0,1.49,-3.87,0.24,-17.24,0.83,-5.68,0.22,-4.35,45.38,2.3,8.04,-2.31,5.27,8.66,39.45,-1.1,4.11,0.98,2.31,0.0,0.12
-0.6,11.5,14.98,3.07,24.6,10.53,28.2,15.22,29.62,16.18,-41.93,-48.53,0.5,29300000.0,572600000.0,236500000.0,336000000.0,-15600000.0,298600000.0,17.48,27.01,11.55,-68.8,13.28,83000000.0,-54200000.0,-1100000.0,32800000.0,1.12,50.64,-1.09,-73.17,475.44,460.0,0.15,-46.43,0.19,11.76,0.18,5.88,0.7,12.9,0.11,22.22,1.34,3.08,0.59,20.41,41.22,2.21,8.85,-2.21,0.76,18.75,39.08,10.65,5.26,-2.59,2.44,-5.06,0.16
0.54,22.5,19.18,-2.98,23.7,1.59,20.6,-1.89,23.82,1.16,25.35,2.86,0.6,29400000.0,664300000.0,288500000.0,375800000.0,28200000.0,338500000.0,16.01,21.99,11.85,-280.77,13.36,75500000.0,-39400000.0,-30600000.0,28500000.0,0.97,-9.04,-27.31,2681.82,-13.11,-13.39,0.16,6.67,0.2,5.26,0.2,11.11,0.77,10.0,0.11,0.0,1.35,0.75,0.53,-10.17,45.2,9.66,8.08,-8.7,0.79,3.95,41.68,6.65,6.08,15.59,2.57,5.33,0.14
0.26,19.6,17.99,-1.23,20.1,0.0,21.9,1.92,14.88,-4.02,9.39,-8.33,0.6,29600000.0,735700000.0,316800000.0,418900000.0,77700000.0,382000000.0,10.75,9.81,11.47,175.53,12.85,89500000.0,-52600000.0,-25100000.0,36800000.0,1.24,18.54,33.5,-17.97,29.12,27.84,0.16,0.0,0.22,10.0,0.22,10.0,0.76,-1.3,0.11,0.0,1.37,1.48,0.51,-3.77,42.75,-5.42,8.54,5.69,0.61,-22.78,36.84,-11.61,6.83,12.34,2.78,8.17,0.13
2.14,13.1,10.14,-2.64,9.9,-3.17,10.3,-2.88,10.9,-1.86,18.37,4.92,0.0,140800000.0,4274200000.0,2401200000.0,1872900000.0,2695200000.0,664600000.0,16.06,19.65,11.77,12.35,-28.15,1999000000.0,107000000.0,700000.0,2106000000.0,14.96,85.95,-8.55,16.67,76.68,81.77,0.21,5.0,0.26,0.0,0.23,4.55,1.28,6.67,0.21,-8.7,1.17,-21.48,0.74,-26.73,69.71,2.0,5.24,-1.87,43.25,17.78,69.7,-4.11,8.49,2.04,1.43,-2.72,0.29
2.02,-0.3,-2.78,-2.67,-13.5,-13.29,-16.0,-15.45,-21.74,-21.56,-22.58,-22.08,1.41,116800000.0,4415800000.0,2810100000.0,1605600000.0,4245100000.0,299000000.0,-9.05,-8.45,-10.09,7.87,-31.74,876200000.0,-236800000.0,-637900000.0,759000000.0,6.42,-65.13,-242.65,-49169.23,-71.67,-69.52,0.3,-11.76,0.43,-8.51,0.33,-8.33,1.75,1.74,0.2,5.26,0.99,2.06,0.54,-1.82,70.4,-4.24,5.18,4.44,35.22,-11.28,60.12,-2.04,9.28,4.27,1.81,9.7,0.42
-3.83,-11.1,-6.73,5.02,-16.6,-5.65,-20.5,-10.58,-12.83,-1.9,-8.62,1.67,1.43,113500000.0,4323900000.0,2832900000.0,1491000000.0,4518400000.0,196700000.0,-2.08,0.81,-7.14,6.44,-34.21,859200000.0,-130400000.0,-682800000.0,767900000.0,6.71,-1.94,-44.93,7.04,1.17,4.52,0.29,-3.33,0.29,-32.56,0.22,-33.33,1.9,8.57,0.33,65.0,1.27,28.28,0.74,37.04,70.36,-0.06,5.19,0.19,35.81,1.68,64.29,6.94,8.67,-6.57,1.64,-9.39,0.87
2.3,9.6,6.68,-2.61,9.4,0.0,11.2,1.08,8.83,-0.68,6.13,-3.28,1.46,107000000.0,5169200000.0,3559800000.0,1609400000.0,4824500000.0,186500000.0,19.55,25.66,7.94,6.77,-5.19,706600000.0,-489900000.0,-223600000.0,581400000.0,5.34,-17.76,275.69,-67.25,-24.29,-20.42,0.29,0.0,0.32,10.34,0.24,9.09,2.21,16.32,0.29,-12.12,1.07,-15.75,0.63,-14.86,77.98,10.83,4.68,-9.83,43.03,20.16,77.29,20.22,8.17,-5.77,1.5,-8.54,1.21
3.69,12.7,7.57,-4.69,3.5,-8.55,3.6,-7.45,9.4,-2.98,-4.45,-15.25,1.48,103500000.0,5229300000.0,3712300000.0,1516900000.0,756400000.0,103000000.0,1.16,4.28,-5.75,-84.32,-44.77,735800000.0,-277800000.0,-475200000.0,582000000.0,5.51,4.13,-43.29,112.52,0.1,3.18,0.29,0.0,0.35,9.37,0.25,4.17,2.45,10.86,0.3,3.45,1.05,-1.87,0.62,-1.59,67.37,-13.61,5.42,15.81,41.22,-4.21,70.16,-9.22,9.16,12.12,1.68,12.0,0.6
-2.44,8.8,12.33,3.28,17.7,8.41,22.2,11.49,22.36,12.53,42.79,32.0,1.58,101700000.0,6234700000.0,4442900000.0,1791800000.0,1226500000.0,288200000.0,19.23,19.68,18.12,62.15,179.81,887900000.0,-342500000.0,286600000.0,730800000.0,7.03,20.67,23.29,-160.31,25.57,27.59,0.35,20.69,0.27,-22.86,0.21,-16.0,2.48,1.22,0.41,36.67,1.68,60.0,1.19,91.94,63.04,-6.43,5.79,6.83,39.53,-4.1,63.23,-9.88,9.87,7.75,1.53,-8.93,0.49
